"Outcome (or Indicator)","Group","Percentage","Confidence Interval","Title","Description","Year"
"Difficulty status (composite)","No working parents","52.5","48.1, 56.9","Percentage with functional difficulty for children under age 18 years (95% confidence intervals), United States",,"2021"
"Difficulty status (composite)","Single parent, working","46.1","43.1, 49.1","Percentage with functional difficulty for children under age 18 years (95% confidence intervals), United States",,"2021"
"Difficulty status (composite)","Two parents, one working","41.5","38.6, 44.4","Percentage with functional difficulty for children under age 18 years (95% confidence intervals), United States",,"2021"
"Difficulty status (composite)","Two parents, both working","41.6","39.7, 43.6","Percentage with functional difficulty for children under age 18 years (95% confidence intervals), United States",,"2021"
"Difficulty status (composite)","Private","42.6","40.9, 44.3","Percentage with functional difficulty for children under age 18 years (95% confidence intervals), United States",,"2021"
"Difficulty status (composite)","Medicaid or other state programs","46.7","44.4, 49.1","Percentage with functional difficulty for children under age 18 years (95% confidence intervals), United States",,"2021"
"Difficulty status (composite)","Other government coverage","49.2","41.9, 56.6","Percentage with functional difficulty for children under age 18 years (95% confidence intervals), United States",,"2021"
"Difficulty status (composite)","Uninsured","37.6","30.9, 44.7","Percentage with functional difficulty for children under age 18 years (95% confidence intervals), United States",,"2021"
"Difficulty status (composite)","Large MSA","42.1","40.3, 44.0","Percentage with functional difficulty for children under age 18 years (95% confidence intervals), United States",,"2021"
"Difficulty status (composite)","Small MSA","45.5","43.3, 47.7","Percentage with functional difficulty for children under age 18 years (95% confidence intervals), United States",,"2021"
"Difficulty status (composite)","Not in MSA","48.8","45.3, 52.3","Percentage with functional difficulty for children under age 18 years (95% confidence intervals), United States",,"2021"
"Difficulty status (composite)","Northeast","42.5","38.9, 46.1","Percentage with functional difficulty for children under age 18 years (95% confidence intervals), United States",,"2021"
"Difficulty status (composite)","Midwest","46.6","44.1, 49.1","Percentage with functional difficulty for children under age 18 years (95% confidence intervals), United States",,"2021"
"Difficulty status (composite)","South","43.1","40.8, 45.4","Percentage with functional difficulty for children under age 18 years (95% confidence intervals), United States",,"2021"
"Difficulty status (composite)","West","44.4","42.0, 47.0","Percentage with functional difficulty for children under age 18 years (95% confidence intervals), United States",,"2021"
"Difficulty status (composite)","With disability","100","99.5,100.0","Percentage with functional difficulty for children under age 18 years (95% confidence intervals), United States",,"2021"
"Difficulty status (composite)","Without disability","37.7","36.3, 39.1","Percentage with functional difficulty for children under age 18 years (95% confidence intervals), United States",,"2021"
"Difficulty status (composite)","Large central metro","41.3","38.8, 43.8","Percentage with functional difficulty for children under age 18 years (95% confidence intervals), United States",,"2021"
"Difficulty status (composite)","Large fringe metro","43.1","40.4, 45.8","Percentage with functional difficulty for children under age 18 years (95% confidence intervals), United States",,"2021"
"Difficulty status (composite)","Medium and small metro","45.6","43.4, 47.9","Percentage with functional difficulty for children under age 18 years (95% confidence intervals), United States",,"2021"
"Difficulty status (composite)","Nonmetropolitan","48.8","45.3, 52.3","Percentage with functional difficulty for children under age 18 years (95% confidence intervals), United States",,"2021"
"Difficulty status (composite)","Little to no social vulnerability","47.1","44.2, 50.1","Percentage with functional difficulty for children under age 18 years (95% confidence intervals), United States",,"2021"
"Difficulty status (composite)","Low social vulnerability","44.8","42.3, 47.4","Percentage with functional difficulty for children under age 18 years (95% confidence intervals), United States",,"2021"
"Difficulty status (composite)","Medium social vulnerability","44.7","42.4, 47.1","Percentage with functional difficulty for children under age 18 years (95% confidence intervals), United States",,"2021"
"Difficulty status (composite)","High social vulnerability","39.9","37.1, 42.8","Percentage with functional difficulty for children under age 18 years (95% confidence intervals), United States",,"2021"
"Difficulty status (composite)","With functioning difficulty","100","99.9,100.0","Percentage with functional difficulty for children under age 18 years (95% confidence intervals), United States",,"2021"
"Difficulty status (composite)","Without functioning difficulty","888",,"Percentage with functional difficulty for children under age 18 years (95% confidence intervals), United States",,"2021"
"Disability status (composite)","Total","10.2","9.4, 11.1","Percentage with disabiltiy for children under age 18 years (95% confidence intervals), United States",,"2021"
"Disability status (composite)","Female","9.5","8.3, 10.8","Percentage with disabiltiy for children under age 18 years (95% confidence intervals), United States",,"2021"
"Disability status (composite)","Male","10.9","9.7, 12.2","Percentage with disabiltiy for children under age 18 years (95% confidence intervals), United States",,"2021"
"Disability status (composite)","2-4 years","3.4","2.2,  5.0","Percentage with disabiltiy for children under age 18 years (95% confidence intervals), United States",,"2021"
"Disability status (composite)","5-11 years","10.9","9.6, 12.4","Percentage with disabiltiy for children under age 18 years (95% confidence intervals), United States",,"2021"
"Disability status (composite)","12-17 years","12.7","11.2, 14.2","Percentage with disabiltiy for children under age 18 years (95% confidence intervals), United States",,"2021"
"Disability status (composite)","American Indian or Alaska Native only","999",,"Percentage with disabiltiy for children under age 18 years (95% confidence intervals), United States",,"2021"
"Disability status (composite)","Asian only","6","3.9,  8.8","Percentage with disabiltiy for children under age 18 years (95% confidence intervals), United States",,"2021"
"Disability status (composite)","Black only","12.9","10.0, 16.3","Percentage with disabiltiy for children under age 18 years (95% confidence intervals), United States",,"2021"
"Disability status (composite)","Native Hawaiian or Other Pacific Islander only","999",,"Percentage with disabiltiy for children under age 18 years (95% confidence intervals), United States",,"2021"
"Disability status (composite)","White only","10.1","9.2, 11.1","Percentage with disabiltiy for children under age 18 years (95% confidence intervals), United States",,"2021"
"Disability status (composite)","American Indian and Alaska Native and White","999",,"Percentage with disabiltiy for children under age 18 years (95% confidence intervals), United States",,"2021"
"Disability status (composite)","Black and White","11.7","7.2, 17.5","Percentage with disabiltiy for children under age 18 years (95% confidence intervals), United States",,"2021"
"Disability status (composite)","Hispanic","8.7","7.3, 10.3","Percentage with disabiltiy for children under age 18 years (95% confidence intervals), United States",,"2021"
"Disability status (composite)","Non-Hispanic","10.7","9.7, 11.9","Percentage with disabiltiy for children under age 18 years (95% confidence intervals), United States",,"2021"
"Disability status (composite)","Mexican or Mexican American","7","5.5,  8.8","Percentage with disabiltiy for children under age 18 years (95% confidence intervals), United States",,"2021"
"Disability status (composite)","Black only, non-Hispanic","13","9.9, 16.6","Percentage with disabiltiy for children under age 18 years (95% confidence intervals), United States",,"2021"
"Disability status (composite)","White only, non-Hispanic","10.4","9.3, 11.6","Percentage with disabiltiy for children under age 18 years (95% confidence intervals), United States",,"2021"
"Disability status (composite)","Other race, non-Hispanic","9.8","7.5, 12.4","Percentage with disabiltiy for children under age 18 years (95% confidence intervals), United States",,"2021"
"Disability status (composite)","Single parent, never married","14","11.2, 17.1","Percentage with disabiltiy for children under age 18 years (95% confidence intervals), United States",,"2021"
"Disability status (composite)","Single parent, ever married","15.6","12.7, 18.9","Percentage with disabiltiy for children under age 18 years (95% confidence intervals), United States",,"2021"
"Disability status (composite)","Married parents","7.8","6.9,  8.8","Percentage with disabiltiy for children under age 18 years (95% confidence intervals), United States",,"2021"
"Disability status (composite)","Cohabiting parents","7.1","4.1, 11.2","Percentage with disabiltiy for children under age 18 years (95% confidence intervals), United States",,"2021"
"Disability status (composite)","At least one related or unrelated adult (not a parent)","16","11.5, 21.3","Percentage with disabiltiy for children under age 18 years (95% confidence intervals), United States",,"2021"
"Disability status (composite)","Less than high school diploma","11.8","8.5, 15.7","Percentage with disabiltiy for children under age 18 years (95% confidence intervals), United States",,"2021"
"Disability status (composite)","High school diploma or GED","11.6","9.6, 13.8","Percentage with disabiltiy for children under age 18 years (95% confidence intervals), United States",,"2021"
"Disability status (composite)","Some college","12.2","10.4, 14.2","Percentage with disabiltiy for children under age 18 years (95% confidence intervals), United States",,"2021"
"Disability status (composite)","College degree or higher","8.1","7.1,  9.2","Percentage with disabiltiy for children under age 18 years (95% confidence intervals), United States",,"2021"
"Disability status (composite)","Less than 100% FPL","14.9","12.1, 18.0","Percentage with disabiltiy for children under age 18 years (95% confidence intervals), United States",,"2021"
"Disability status (composite)","100% to less than 200% FPL","12.2","10.2, 14.3","Percentage with disabiltiy for children under age 18 years (95% confidence intervals), United States",,"2021"
"Disability status (composite)","200% and greater FPL","8.2","7.3,  9.2","Percentage with disabiltiy for children under age 18 years (95% confidence intervals), United States",,"2021"
"Disability status (composite)","No working parents","18.8","15.5, 22.6","Percentage with disabiltiy for children under age 18 years (95% confidence intervals), United States",,"2021"
"Disability status (composite)","Single parent, working","13.2","11.2, 15.3","Percentage with disabiltiy for children under age 18 years (95% confidence intervals), United States",,"2021"
"Disability status (composite)","Two parents, one working","9.4","7.7, 11.3","Percentage with disabiltiy for children under age 18 years (95% confidence intervals), United States",,"2021"
"Disability status (composite)","Two parents, both working","6.6","5.7,  7.6","Percentage with disabiltiy for children under age 18 years (95% confidence intervals), United States",,"2021"
"Disability status (composite)","Private","8.1","7.1,  9.1","Percentage with disabiltiy for children under age 18 years (95% confidence intervals), United States",,"2021"
"Disability status (composite)","Medicaid or other state programs","13.8","12.1, 15.6","Percentage with disabiltiy for children under age 18 years (95% confidence intervals), United States",,"2021"
"Disability status (composite)","Other government coverage","11.8","7.3, 17.7","Percentage with disabiltiy for children under age 18 years (95% confidence intervals), United States",,"2021"
"Disability status (composite)","Uninsured","6.7","4.2, 10.1","Percentage with disabiltiy for children under age 18 years (95% confidence intervals), United States",,"2021"
"Disability status (composite)","Large MSA","9.1","8.0, 10.2","Percentage with disabiltiy for children under age 18 years (95% confidence intervals), United States",,"2021"
"Disability status (composite)","Small MSA","10.9","9.3, 12.8","Percentage with disabiltiy for children under age 18 years (95% confidence intervals), United States",,"2021"
"Disability status (composite)","Not in MSA","13.6","11.0, 16.5","Percentage with disabiltiy for children under age 18 years (95% confidence intervals), United States",,"2021"
"Disability status (composite)","Northeast","9","7.4, 10.9","Percentage with disabiltiy for children under age 18 years (95% confidence intervals), United States",,"2021"
"Disability status (composite)","Midwest","10","8.3, 11.9","Percentage with disabiltiy for children under age 18 years (95% confidence intervals), United States",,"2021"
"Disability status (composite)","South","11.8","10.1, 13.6","Percentage with disabiltiy for children under age 18 years (95% confidence intervals), United States",,"2021"
"Disability status (composite)","West","8.7","7.4, 10.2","Percentage with disabiltiy for children under age 18 years (95% confidence intervals), United States",,"2021"
"Disability status (composite)","With disability","100","99.5,100.0","Percentage with disabiltiy for children under age 18 years (95% confidence intervals), United States",,"2021"
"Disability status (composite)","Without disability","888",,"Percentage with disabiltiy for children under age 18 years (95% confidence intervals), United States",,"2021"
"Disability status (composite)","Large central metro","8.9","7.5, 10.5","Percentage with disabiltiy for children under age 18 years (95% confidence intervals), United States",,"2021"
"Disability status (composite)","Large fringe metro","9.1","7.6, 10.8","Percentage with disabiltiy for children under age 18 years (95% confidence intervals), United States",,"2021"
"Disability status (composite)","Medium and small metro","11","9.3, 12.9","Percentage with disabiltiy for children under age 18 years (95% confidence intervals), United States",,"2021"
"Disability status (composite)","Nonmetropolitan","13.6","11.0, 16.5","Percentage with disabiltiy for children under age 18 years (95% confidence intervals), United States",,"2021"
"Disability status (composite)","Little to no social vulnerability","10.4","8.5, 12.5","Percentage with disabiltiy for children under age 18 years (95% confidence intervals), United States",,"2021"
"Disability status (composite)","Low social vulnerability","9.1","7.7, 10.6","Percentage with disabiltiy for children under age 18 years (95% confidence intervals), United States",,"2021"
"Disability status (composite)","Medium social vulnerability","10.8","9.2, 12.6","Percentage with disabiltiy for children under age 18 years (95% confidence intervals), United States",,"2021"
"Disability status (composite)","High social vulnerability","10.7","8.7, 13.0","Percentage with disabiltiy for children under age 18 years (95% confidence intervals), United States",,"2021"
"Disability status (composite)","With functioning difficulty","23.2","21.4, 25.2","Percentage with disabiltiy for children under age 18 years (95% confidence intervals), United States",,"2021"
"Disability status (composite)","Without functioning difficulty","888",,"Percentage with disabiltiy for children under age 18 years (95% confidence intervals), United States",,"2021"
"Ever having asthma","Total","9.9","9.1, 10.7","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""","2022"
"Ever having asthma","Male","11.4","10.3, 12.6","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""","2022"
"Ever having asthma","Female","8.2","7.2,  9.4","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""","2022"
"Ever having asthma","0-4 years","3.2","2.3,  4.3","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""","2022"
"Ever having asthma","5-11 years","10.6","9.3, 12.0","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""","2022"
"Ever having asthma","12-17 years","13.9","12.4, 15.4","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""","2022"
"Ever having asthma","White only","8.9","8.0,  9.8","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""","2022"
"Ever having asthma","Black only","15.9","13.1, 19.0","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""","2022"
"Ever having asthma","American Indian or Alaska Native only","999",,"Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""","2022"
"Ever having asthma","Asian only","6","4.0,  8.6","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""","2022"
"Ever having asthma","Native Hawaiian or Other Pacific Islander only","999",,"Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""","2022"
"Ever having asthma","Black and White","12.5","7.6, 19.0","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""","2022"
"Ever having asthma","American Indian and Alaska Native and White","999",,"Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""","2022"
"Ever having asthma","Hispanic","9.8","8.3, 11.4","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""","2022"
"Ever having asthma","Non-Hispanic","9.9","9.0, 10.8","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""","2022"
"Ever having asthma","Mexican or Mexican American","9.9","8.1, 12.0","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""","2022"
"Ever having asthma","White only, non-Hispanic","8.8","7.8,  9.9","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""","2022"
"Ever having asthma","Black only, non-Hispanic","15.9","13.0, 19.1","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""","2022"
"Ever having asthma","Other race, non-Hispanic","8.1","6.4, 10.1","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""","2022"
"Ever having asthma","Single parent, never married","14.4","11.4, 17.9","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""","2022"
"Ever having asthma","Single parent, ever married","12.7","10.3, 15.4","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""","2022"
"Ever having asthma","Married parents","8.3","7.4,  9.2","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""","2022"
"Ever having asthma","Cohabiting parents","9.2","6.2, 13.0","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""","2022"
"Ever having asthma","At least one related or unrelated adult (not a parent)","13.5","9.5, 18.6","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""","2022"
"Ever having asthma","No working parents","13.3","10.4, 16.6","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""","2022"
"Ever having asthma","Single parent, working","13.2","11.3, 15.3","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""","2022"
"Ever having asthma","Two parents, one working","7.6","6.2,  9.3","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""","2022"
"Ever having asthma","Two parents, both working","8.6","7.4,  9.8","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""","2022"
"Ever having asthma","Less than high school diploma","9.3","6.5, 12.8","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""","2022"
"Ever having asthma","High school diploma or GED","9.9","8.2, 11.9","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""","2022"
"Ever having asthma","Some college","12.9","11.1, 14.8","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""","2022"
"Ever having asthma","College degree or higher","8.2","7.2,  9.2","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""","2022"
"Ever having asthma","Less than 100% FPL","10.5","8.3, 13.1","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""","2022"
"Ever having asthma","100% to less than 200% FPL","11.1","9.2, 13.3","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""","2022"
"Ever having asthma","200% and greater FPL","9.2","8.4, 10.2","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""","2022"
"Ever having asthma","Private","8.9","8.0,  9.9","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""","2022"
"Ever having asthma","Medicaid or other state programs","11.6","10.2, 13.2","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""","2022"
"Ever having asthma","Other government coverage","8","4.4, 13.3","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""","2022"
"Ever having asthma","Uninsured","7.9","4.8, 12.0","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""","2022"
"Ever having asthma","With disability","16.5","13.5, 19.8","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""","2022"
"Ever having asthma","Without disability","10.1","9.2, 11.1","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""","2022"
"Ever having asthma","Large MSA","10.4","9.4, 11.5","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""","2022"
"Ever having asthma","Small MSA","9","7.7, 10.4","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""","2022"
"Ever having asthma","Not in MSA","9.6","7.5, 12.0","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""","2022"
"Ever having asthma","Northeast","10.4","8.5, 12.6","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""","2022"
"Ever having asthma","Midwest","9.8","8.2, 11.6","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""","2022"
"Ever having asthma","South","10.3","9.0, 11.7","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""","2022"
"Ever having asthma","West","8.9","7.4, 10.5","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""","2022"
"Ever having asthma","Large central metro","10.5","9.0, 12.2","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""","2022"
"Ever having asthma","Large fringe metro","10.4","9.0, 11.9","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""","2022"
"Ever having asthma","Medium and small metro","8.9","7.6, 10.3","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""","2022"
"Ever having asthma","Nonmetropolitan","9.6","7.5, 12.0","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""","2022"
"Ever having asthma","Little to no social vulnerability","8.2","6.5, 10.1","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""","2022"
"Ever having asthma","Low social vulnerability","9","7.5, 10.7","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""","2022"
"Ever having asthma","Medium social vulnerability","11","9.5, 12.7","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""","2022"
"Ever having asthma","High social vulnerability","10.3","8.9, 11.8","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""","2022"
"Ever having asthma","With functioning difficulty","13.7","12.4, 15.1","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""","2022"
"Ever having asthma","Without functioning difficulty","8.2","7.1,  9.3","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""","2022"
"Current asthma","Total","6.2","5.6,  6.9","Percentage of current asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] still have asthma?"" Question is asked of sample children 0-17 who were told by a doctor or other health professional that they ever had asthma.","2022"
"Current asthma","Male","7","6.1,  8.0","Percentage of current asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] still have asthma?"" Question is asked of sample children 0-17 who were told by a doctor or other health professional that they ever had asthma.","2022"
"Current asthma","Female","5.4","4.5,  6.4","Percentage of current asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] still have asthma?"" Question is asked of sample children 0-17 who were told by a doctor or other health professional that they ever had asthma.","2022"
"Current asthma","0-4 years","2.7","1.9,  3.8","Percentage of current asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] still have asthma?"" Question is asked of sample children 0-17 who were told by a doctor or other health professional that they ever had asthma.","2022"
"Current asthma","5-11 years","7","5.9,  8.2","Percentage of current asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] still have asthma?"" Question is asked of sample children 0-17 who were told by a doctor or other health professional that they ever had asthma.","2022"
"Current asthma","12-17 years","7.9","6.8,  9.2","Percentage of current asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] still have asthma?"" Question is asked of sample children 0-17 who were told by a doctor or other health professional that they ever had asthma.","2022"
"Current asthma","White only","5.8","5.0,  6.6","Percentage of current asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] still have asthma?"" Question is asked of sample children 0-17 who were told by a doctor or other health professional that they ever had asthma.","2022"
"Current asthma","Black only","11.2","8.8, 14.0","Percentage of current asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] still have asthma?"" Question is asked of sample children 0-17 who were told by a doctor or other health professional that they ever had asthma.","2022"
"Current asthma","American Indian or Alaska Native only","999",,"Percentage of current asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] still have asthma?"" Question is asked of sample children 0-17 who were told by a doctor or other health professional that they ever had asthma.","2022"
"Current asthma","Asian only","3","1.6,  4.9","Percentage of current asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] still have asthma?"" Question is asked of sample children 0-17 who were told by a doctor or other health professional that they ever had asthma.","2022"
"Current asthma","Native Hawaiian or Other Pacific Islander only","999",,"Percentage of current asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] still have asthma?"" Question is asked of sample children 0-17 who were told by a doctor or other health professional that they ever had asthma.","2022"
"Current asthma","Black and White","7.7","4.3, 12.4","Percentage of current asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] still have asthma?"" Question is asked of sample children 0-17 who were told by a doctor or other health professional that they ever had asthma.","2022"
"Current asthma","American Indian and Alaska Native and White","999",,"Percentage of current asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] still have asthma?"" Question is asked of sample children 0-17 who were told by a doctor or other health professional that they ever had asthma.","2022"
"Current asthma","Hispanic","5.5","4.4,  6.8","Percentage of current asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] still have asthma?"" Question is asked of sample children 0-17 who were told by a doctor or other health professional that they ever had asthma.","2022"
"Current asthma","Non-Hispanic","6.5","5.8,  7.3","Percentage of current asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] still have asthma?"" Question is asked of sample children 0-17 who were told by a doctor or other health professional that they ever had asthma.","2022"
"Current asthma","Mexican or Mexican American","5.3","4.0,  7.0","Percentage of current asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] still have asthma?"" Question is asked of sample children 0-17 who were told by a doctor or other health professional that they ever had asthma.","2022"
"Current asthma","White only, non-Hispanic","5.7","4.9,  6.7","Percentage of current asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] still have asthma?"" Question is asked of sample children 0-17 who were told by a doctor or other health professional that they ever had asthma.","2022"
"Current asthma","Black only, non-Hispanic","11.2","8.7, 14.1","Percentage of current asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] still have asthma?"" Question is asked of sample children 0-17 who were told by a doctor or other health professional that they ever had asthma.","2022"
"Current asthma","Other race, non-Hispanic","4.6","3.3,  6.2","Percentage of current asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Does [child's name] still have asthma?"" Question is asked of sample children 0-17 who were told by a doctor or other health professional that they ever had asthma.","2022"
